Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
Ca. 40cm,,Magerzone,mehrjährig,Lavandula angustifolia,"Südwest-Europa, seit Jahrhunderten eingebürgert",Lamiaceae - Lippenblütler,Sonne - Halbschatten,trocken,,Lavendel,"Der Klassiker schlechthin für Beetumrandungen ist der Lavendel. In mageren, trockenen Böden bleibt seine Höhe von ca. 40cm überschaubar. Der Standort sollte sonnig bis halbschattig sein. Ursprünglich aus Südwest-Europa stammend, wird der Lavendel seit Jahrhunderten auch in unseren Breiten kultiviert und ist seit Jahrhunderten als wirksame Heil- und Aromapflanze bekannt. Die lilafarbenen Blüten des Lavendel bilden sich zwischen Juli und August und werden von zahlreichen Insekten als Nahrungsquelle genutzt. Schneidet man den Lavendel im zeitigen Frühjahr auf ca. 20 - 30 cm zurück, vermeidet man ein zu starkes Verholzen der Pflanze.",lila,mager,,Juli - August
bis ca. 40cm,,Magerzone,mehrjährig,Corynephorus canescens,heimisch,Poaceae - Süßgräser,Sonne,trocken - frisch,,Silbergras,Das heimische Silbergras hat eine bläulich-grüne Färbung und wächst in kompakten Horsten. Es erreicht eine Höhe von ca. 35 - 40 cm und ist für trockene bis frische Areale in sonniger Lage geeignet. Die Staude liebt sandige und kalkarme Böden und ist sehr gut für niedrige und farbneutrale Beeteinfassungen geeignet. In mehreren Bundesländern wird das Silberkraut als gefährdet eingestuft.,grün,mager,,Juni - Juli
bis ca. 40cm,,Magerzone,mehrjährig,Trifolium montanum,heimisch,Fabaceae - Hülsenfrüchtler,Sonne,trocken,,Berg-Klee,"Bei ""Klee"" denkt man gewöhnlicherweise zuerst an Wiesen-Areale. Dabei sind Kleearten auch zur Beetumrandung geeignet.  Der bei uns heimische Berg-Klee ist für Magerstandorte geeignet, die trocken und sonnig sind. Auch auf nährstoffreicheren Böden kann der Bergklee gepflanzt werden. Er erreicht in nährstoffarmen Böden eine Höhe von bis zu 40 cm und seine weißen Blüten werden zwischen Mai und Juli von zahlreichen Insekten sehr gut angeflogen, darunter viele Bienen sowie Tag- und Nachtfalterarten.",weiß,mager,,Mai - Juli
Ca. 300 - 1500 cm,,Pufferzone,mehrjährig,Acer campestre,heimisch,Sapindaceae - Seifenbaumgewächse,"Sonne, Halbschatten, Schatten",feucht,"Schmetterlinge, Insekten, Vögel, Kleintiere, Raupenfutter",Feldahorn,"Eine sehr robuste und frostharte Heckenpflanze ist der heimische Feldahorn. Das Gehölz ist sehr schnittverträglich, so dass niedrige Feldahorn-Hecken leicht zu gestalten sind. Mit einer maximalen Höhe von bis zu 15 Metern sind jedoch auch sehr hohe Hecken kein Problem. Feldahorn wächst am besten in humosem, feuchtem Boden, dabei spielt der Standort keine entscheidende Rolle - der Feldahorn wächst sowohl in der Sonne als auch im Schatten. Pflanzt man drei Pflanzen pro Meter, so entsteht eine dichte, blickdichte Hecke, die von Vögeln gerne als Nistplatz angenommen wird. Auch Kleintieren wie dem Igel bietet eine Feldahorn-Hecke einen guten Schutzort. Die grüngelblichen Blüten bieten Insekten zwischen Mai und Juni ein begehrtes Nahrungsangebot und Schmetterlingsraupen nutzen den Feldahorn als Raupenfutter.",grüngelblich,humos,,Mai bis Juni
Ca. 120 - 150 cm,,Pufferzone,mehrjährig,Potentilla fruticosa,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",trocken - frisch,"Schmetterlinge, Insekten",Fingerstrauch,"Der heimische Fingerstrauch eignet sich mit einer maximalen Wuchshöhe von 150 cm für niedrige Hecken. Das Gehölz ist sehr schnittverträglich und robust. Der Boden sollte humos, kalkarm und nicht zu nass sein, der beste Standort ist eine sonnige bis halbschattige Lage. Von Juni bis Oktober bilden sich die gelben Blüten, die von Insekten angeflogen werden. Für eine Heckenpflanzung rechnet man ca. 3 Pflanzen pro Meter.",gelb,"humos, kalkarm",,Juni bis September
Ca. 300 - 1400 cm,,Pufferzone,mehrjährig,Carpinus betulus,heimisch,Betulaceae - Birkengewächse,"Halbschatten, Schatten",feucht,"Schmetterlinge, Insekten, Vögel, Kleintiere, Raupenfutter",Hainbuche,"Eine der beliebtesten Heckenpflanzen ist die Hainbuche. Das heimische Gehölz eignet sich für Hecken aller Größen bis ca. 15 Metern Höhe, aber auch niedrige Höhen sind dank der großen Schnittverträglichkeit der Hainbuche kein Problem. In humosem, feuchtem Boden wächst die Hainbuche am besten, der Standort sollte halbschattig bis schattig sein. Für eine Hecke rechnet man drei bis vier Pflanzen pro Meter.  Durch die dichte Verzweigung und Belaubung dient eine Hainbuchenhecke verschiedenen Vogelarten als Nistplatz und Kleintieren wie dem Igel als Schutzort. Die gelbgrünen Blüten, die zwischen April und Mai ausgebildet werden, sind eine wertvolle Nahrungsquelle für verschiedene Insekten. Weiterhin dient die Hainbuche auch als Raupenfutter.",gelbgrün,humos,,April bis Mai
Ca. 150 - 200 cm,,Pufferzone,mehrjährig,Spiraea arguta,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch - feucht,"Schmetterlinge, Insekten, Frühblüher","Brautspiere, Schneespiere",Die heimische Brautspiere eigent sich gut für niedrige Hecke. Das Gehölz erreicht eine Höhe von ca. 150 - 200 cm und verträgt Rückschnitte sehr gut. Der Boden sollte humos und frisch bis feucht sein. Der beste Standort ist eine sonnige bis halbschattige Lage. Die weißen Blüten erscheinen recht früh zwischen April und Mai und werden von verschiedenen Insekten gut angeflogen. Für eine Hecke rechnet man 3 Pflanzen pro Meter.,weiß,humos,,April bis Mai
Ca. 200 - 300 cm,,Pufferzone,mehrjährig,Ligustrum vulgare,heimisch,Oleaceae - Ölbaumgewächse,"Sonne, Halbschatten, Schatten",frisch,viele verschiedene Insekten,Liguster,"Der heimische Liguster ist eine der wertvollsten und besten Alternativen zu Kirschlorbeer & Co. Die Pflanze ist fast immer belaubt, sie wirft in vielen Regionen ihr Laub erst zum neuen Laubtrieb ab. Zudem ist Liguster extrem schnittverträglich. Sollte die Hecke verholzen, kann der Liguster ""auf den Stock gesetzt"", d.h. bodennah geschnitten werden. Er wächst zuverlässig und schnell wieder nach. Ein humoser, nicht zu nasser Boden ist alles, was dieses Gehölz benötigt um gut zu wachsen. Er gedeiht sowohl in der Sonne als auch im Schatten und erreicht dabei eine Höhe von ca. 200 - 300 cm. Für eine Hecke rechnet man drei Pflanzen pro Meter. Die nektarreichen, weißen Blüten, die zwischen Juni und Juli erscheinen, werden von einer Vielzahl von Insekten angeflogen. Wer eine niedrige, blickdichte, pflegeleichte und insektenfreundliche Heckenpflanze sucht, kommt am Liguster kaum vorbei. ",weiß,humos,,Juni bis Juli
ca. 40 - 90 cm,,Magerzone,mehrjährig,Lamium orvala,heimisch,Lamiaceae - Lippenblütengewächse,"Sonne, Halbschatten",trocken - frisch,Insekten mit langem Rüssel,Nesselkönig,"Der Nesselkönig, auch Riesen-Taubnessel genannt, ist in Mittel- und Südeuropa beheimatet. Er ist mehrjährig und erreicht eine Höhe von ca. 40 - 90 cm. Diese Nessel wächst gut auf magerem bis humosen Boden, der trocken bis frisch sein sollte. Der beste Standort ist eine sonnige bis halbschattige Lage. Zwischen April und Juni bilden sich bräunlich-rote Blüten, die vor allem von Insekten mit langem Rüssel wie Hummeln und Schmetterlingen angeflogen werden.",bräunlich-rot,mager - humos,,April bis Juni
bis ca. 60 cm,,Magerzone,mehrjährig,Deschampsia flexuosa,heimisch,Poaceae - Süßgräser,"Sonne, Halbschatten",trocken,Insekten,"Schlängel-Schmiele, Draht-Schmiele","Die heimische Draht-Schmiele erreicht eine Wuchshöhe von bis zu ca. 60 cm. Der Standort sollte mager, trocken und sonnig bis halbschattig sein, gerne auch sauer. Zwischen Juni und Juli bilden sich lockere Rispen, die nicht nur den eingenen Hortus schmücken, sondern auch in der Floristik Verwendung finden.",grün,"mager, sauer",,Juni - Juli
